,RUN,Serie,valor_cuota,Fecha,uf,tipo_cambio,tac_total
36600,BANSANDER-A,AV,,2016-01-11,25629.09,1,0.0
36601,BANSANDER-A,AV,,2016-01-13,25629.09,1,0.0
36602,BANSANDER-A,AV,,2016-01-20,25629.09,1,0.0
36603,BANSANDER-A,AV,,2016-01-24,25629.09,1,0.0
36604,BANSANDER-A,AV,,2016-02-05,25629.09,1,0.0
36605,BANSANDER-A,AV,,2016-02-16,25659.96,1,0.0
36606,BANSANDER-A,AV,,2016-02-20,25677.62,1,0.0
36607,BANSANDER-A,AV,,2016-02-29,25717.4,1,0.0
36608,BANSANDER-A,AV,,2016-03-15,25772.18,1,0.0
36609,BANSANDER-A,AV,,2016-03-24,25794.6,1,0.0
36610,BANSANDER-A,AV,,2016-04-12,25844.83,1,0.0
36611,BANSANDER-A,AV,,2016-04-20,25872.35,1,0.0
36612,BANSANDER-A,AV,,2016-04-22,25879.24,1,0.0
36613,BANSANDER-A,AV,,2016-04-24,25886.13,1,0.0
36614,BANSANDER-A,AV,,2016-04-26,25893.02,1,0.0
36615,BANSANDER-A,AV,,2016-04-27,25896.46,1,0.0
36616,BANSANDER-A,AV,,2016-04-30,25906.8,1,0.0
36617,BANSANDER-A,AV,,2016-05-01,25910.25,1,0.0
36618,BANSANDER-A,AV,,2016-05-07,25930.95,1,0.0
36619,BANSANDER-A,AV,,2016-05-08,25934.4,1,0.0
36620,BANSANDER-A,AV,,2016-05-28,25985.51,1,0.0
36621,BANSANDER-A,AV,,2016-05-30,25990.54,1,0.0
36622,BANSANDER-A,AV,,2016-06-01,25995.56,1,0.0
36623,BANSANDER-A,AV,,2016-06-07,26010.64,1,0.0
36624,BANSANDER-A,AV,,2016-06-09,26015.66,1,0.0
36625,BANSANDER-A,AV,,2016-06-16,26027.79,1,0.0
36626,BANSANDER-A,AV,,2016-06-17,26029.52,1,0.0
36627,BANSANDER-A,AV,,2016-06-24,26041.66,1,0.0
36628,BANSANDER-A,AV,,2016-06-30,26052.07,1,0.0
36629,BANSANDER-A,AV,,2016-07-07,26064.22,1,0.0
36630,BANSANDER-A,AV,,2016-07-12,26077.76,1,0.0
36631,BANSANDER-A,AV,,2016-07-13,26081.12,1,0.0
36632,BANSANDER-A,AV,,2016-07-16,26091.2,1,0.0
36633,BANSANDER-A,AV,,2016-07-17,26094.56,1,0.0
36634,BANSANDER-A,AV,,2016-08-01,26145.01,1,0.0
36635,BANSANDER-A,AV,,2016-08-06,26161.85,1,0.0
36636,BANSANDER-A,AV,,2016-08-08,26168.59,1,0.0
36637,BANSANDER-A,AV,,2016-08-15,26182.08,1,0.0
36638,BANSANDER-A,AV,,2016-08-17,26185.46,1,0.0
36639,BANSANDER-A,AV,,2016-08-24,26197.27,1,0.0
36640,BANSANDER-A,AV,,2016-09-01,26210.79,1,0.0
36641,BANSANDER-A,AV,,2016-09-09,26224.3,1,0.0
36642,BANSANDER-A,AV,,2016-09-11,26224.3,1,0.0
36643,BANSANDER-A,AV,,2016-09-20,26224.3,1,0.0
36644,BANSANDER-A,AV,,2016-09-21,26224.3,1,0.0
36645,BANSANDER-A,AV,,2016-09-25,26224.3,1,0.0
