,RUN,Serie,valor_cuota,Fecha,uf,tipo_cambio,tac_total
0,BANSANDER-B,Obl,,2017-01-13,26348.82,1,0.0
1,BANSANDER-B,Obl,,2017-01-14,26347.12,1,0.0
2,BANSANDER-B,Obl,,2017-01-18,26340.32,1,0.0
3,BANSANDER-B,Obl,,2017-01-21,26335.21,1,0.0
4,BANSANDER-B,Obl,,2017-01-27,26325.01,1,0.0
5,BANSANDER-B,Obl,,2017-01-30,26319.91,1,0.0
6,BANSANDER-B,Obl,,2017-02-04,26311.41,1,0.0
7,BANSANDER-B,Obl,,2017-02-08,26304.62,1,0.0
8,BANSANDER-B,Obl,,2017-02-13,26321.67,1,0.0
9,BANSANDER-B,Obl,,2017-02-17,26340.43,1,0.0
10,BANSANDER-B,Obl,,2017-02-24,26373.29,1,0.0
11,BANSANDER-B,Obl,,2017-02-26,26382.69,1,0.0
12,BANSANDER-B,Obl,,2017-02-27,26387.39,1,0.0
13,BANSANDER-B,Obl,,2017-02-28,26392.09,1,0.0
14,BANSANDER-B,Obl,,2017-03-06,26420.31,1,0.0
15,BANSANDER-B,Obl,,2017-03-09,26434.43,1,0.0
16,BANSANDER-B,Obl,,2017-03-10,26436.13,1,0.0
17,BANSANDER-B,Obl,,2017-03-21,26454.88,1,0.0
18,BANSANDER-B,Obl,,2017-03-23,26458.29,1,0.0
19,BANSANDER-B,Obl,,2017-03-28,26466.82,1,0.0
20,BANSANDER-B,Obl,,2017-03-29,26468.53,1,0.0
21,BANSANDER-B,Obl,,2017-04-02,26475.35,1,0.0
22,BANSANDER-B,Obl,,2017-04-03,26477.06,1,0.0
23,BANSANDER-B,Obl,,2017-04-09,26487.3,1,0.0
24,BANSANDER-B,Obl,,2017-04-18,26519.04,1,0.0
25,BANSANDER-B,Obl,,2017-04-19,26522.57,1,0.0
26,BANSANDER-B,Obl,,2017-04-22,26533.16,1,0.0
27,BANSANDER-B,Obl,,2017-04-23,26536.69,1,0.0
28,BANSANDER-B,Obl,,2017-04-24,26540.22,1,0.0
29,BANSANDER-B,Obl,,2017-04-25,26543.75,1,0.0
30,BANSANDER-B,Obl,,2017-04-27,26550.82,1,0.0
31,BANSANDER-B,Obl,,2017-05-10,26594.96,1,0.0
32,BANSANDER-C,Obl,,2017-01-25,26328.41,1,0.0
33,BANSANDER-C,Obl,,2017-01-27,26325.01,1,0.0
34,BANSANDER-C,Obl,,2017-01-30,26319.91,1,0.0
35,BANSANDER-C,Obl,,2017-02-06,26308.02,1,0.0
