,RUN,Serie,valor_cuota,Fecha,uf,tipo_cambio,tac_total
36500,BANSANDER-B,AV,,2017-01-13,26348.82,1,0.0
36501,BANSANDER-B,AV,,2017-01-14,26347.12,1,0.0
36502,BANSANDER-B,AV,,2017-01-18,26340.32,1,0.0
36503,BANSANDER-B,AV,,2017-01-21,26335.21,1,0.0
36504,BANSANDER-B,AV,,2017-01-27,26325.01,1,0.0
36505,BANSANDER-B,AV,,2017-01-30,26319.91,1,0.0
36506,BANSANDER-B,AV,,2017-02-04,26311.41,1,0.0
36507,BANSANDER-B,AV,,2017-02-08,26304.62,1,0.0
36508,BANSANDER-B,AV,,2017-02-13,26321.67,1,0.0
36509,BANSANDER-B,AV,,2017-02-17,26340.43,1,0.0
36510,BANSANDER-B,AV,,2017-02-24,26373.29,1,0.0
36511,BANSANDER-B,AV,,2017-02-26,26382.69,1,0.0
36512,BANSANDER-B,AV,,2017-02-27,26387.39,1,0.0
36513,BANSANDER-B,AV,,2017-02-28,26392.09,1,0.0
36514,BANSANDER-B,AV,,2017-03-06,26420.31,1,0.0
36515,BANSANDER-B,AV,,2017-03-09,26434.43,1,0.0
36516,BANSANDER-B,AV,,2017-03-10,26436.13,1,0.0
36517,BANSANDER-B,AV,,2017-03-21,26454.88,1,0.0
36518,BANSANDER-B,AV,,2017-03-23,26458.29,1,0.0
36519,BANSANDER-B,AV,,2017-03-28,26466.82,1,0.0
36520,BANSANDER-B,AV,,2017-03-29,26468.53,1,0.0
36521,BANSANDER-B,AV,,2017-04-02,26475.35,1,0.0
36522,BANSANDER-B,AV,,2017-04-03,26477.06,1,0.0
36523,BANSANDER-B,AV,,2017-04-09,26487.3,1,0.0
36524,BANSANDER-B,AV,,2017-04-18,26519.04,1,0.0
36525,BANSANDER-B,AV,,2017-04-19,26522.57,1,0.0
36526,BANSANDER-B,AV,,2017-04-22,26533.16,1,0.0
36527,BANSANDER-B,AV,,2017-04-23,26536.69,1,0.0
36528,BANSANDER-B,AV,,2017-04-24,26540.22,1,0.0
36529,BANSANDER-B,AV,,2017-04-25,26543.75,1,0.0
36530,BANSANDER-B,AV,,2017-04-27,26550.82,1,0.0
36531,BANSANDER-B,AV,,2017-05-10,26594.96,1,0.0
36532,BANSANDER-C,AV,,2017-01-25,26328.41,1,0.0
36533,BANSANDER-C,AV,,2017-01-27,26325.01,1,0.0
36534,BANSANDER-C,AV,,2017-01-30,26319.91,1,0.0
36535,BANSANDER-C,AV,,2017-02-06,26308.02,1,0.0
36536,BANSANDER-C,AV,,2017-02-11,26312.29,1,0.0
36537,BANSANDER-C,AV,,2017-02-27,26387.39,1,0.0
36538,BANSANDER-C,AV,,2017-03-03,26406.2,1,0.0
36539,BANSANDER-C,AV,,2017-03-04,26410.9,1,0.0
36540,BANSANDER-C,AV,,2017-03-16,26446.36,1,0.0
36541,BANSANDER-C,AV,,2017-03-18,26449.77,1,0.0
36542,BANSANDER-C,AV,,2017-03-21,26454.88,1,0.0
36543,BANSANDER-C,AV,,2017-03-22,26456.59,1,0.0
36544,BANSANDER-C,AV,,2017-03-26,26463.41,1,0.0
36545,BANSANDER-C,AV,,2017-03-30,26470.23,1,0.0
36546,BANSANDER-C,AV,,2017-04-02,26475.35,1,0.0
36547,BANSANDER-C,AV,,2017-04-10,26490.82,1,0.0
36548,BANSANDER-C,AV,,2017-04-14,26504.93,1,0.0
36549,BANSANDER-C,AV,,2017-04-18,26519.04,1,0.0
36550,BANSANDER-C,AV,,2017-04-25,26543.75,1,0.0
