,RUN,Serie,valor_cuota,Fecha,uf,tipo_cambio,tac_total
18250,BANSANDER-C,APV,,2015-01-02,24627.1,1,0.0
18251,BANSANDER-C,APV,,2015-01-18,24598.46,1,0.0
18252,BANSANDER-C,APV,,2015-01-23,24582.56,1,0.0
18253,BANSANDER-C,APV,,2015-01-26,24573.03,1,0.0
18254,BANSANDER-C,APV,,2015-01-28,24566.68,1,0.0
18255,BANSANDER-C,APV,,2015-01-29,24563.5,1,0.0
18256,BANSANDER-C,APV,,2015-02-05,24541.28,1,0.0
18257,BANSANDER-C,APV,,2015-02-09,24528.59,1,0.0
18258,BANSANDER-C,APV,,2015-02-15,24533.84,1,0.0
18259,BANSANDER-C,APV,,2015-03-05,24549.61,1,0.0
18260,BANSANDER-C,APV,,2015-03-10,24556.28,1,0.0
18261,BANSANDER-C,APV,,2015-03-12,24562.61,1,0.0
18262,BANSANDER-C,APV,,2015-03-17,24578.43,1,0.0
18263,BANSANDER-C,APV,,2015-03-19,24584.76,1,0.0
18264,BANSANDER-C,APV,,2015-03-23,24597.43,1,0.0
18265,BANSANDER-C,APV,,2015-03-26,24606.93,1,0.0
18266,BANSANDER-C,APV,,2015-03-28,24613.27,1,0.0
18267,BANSANDER-C,APV,,2015-04-02,24629.12,1,0.0
18268,BANSANDER-C,APV,,2015-04-04,24635.47,1,0.0
18269,BANSANDER-C,APV,,2015-04-07,24644.98,1,0.0
18270,BANSANDER-C,APV,,2015-04-17,24690.69,1,0.0
18271,BANSANDER-C,APV,,2015-05-07,24789.35,1,0.0
18272,BANSANDER-C,APV,,2015-05-08,24794.29,1,0.0
18273,BANSANDER-C,APV,,2015-05-10,24804.03,1,0.0
18274,BANSANDER-C,APV,,2015-05-16,24832.76,1,0.0
18275,BANSANDER-C,APV,,2015-05-17,24837.55,1,0.0
18276,BANSANDER-C,APV,,2015-05-21,24856.73,1,0.0
18277,BANSANDER-C,APV,,2015-05-30,24899.94,1,0.0
18278,BANSANDER-C,APV,,2015-05-31,24904.75,1,0.0
18279,BANSANDER-C,APV,,2015-06-01,24909.55,1,0.0
18280,BANSANDER-C,APV,,2015-06-02,24914.36,1,0.0
18281,BANSANDER-C,APV,,2015-06-03,24919.17,1,0.0
18282,BANSANDER-C,APV,,2015-06-08,24943.22,1,0.0
18283,BANSANDER-C,APV,,2015-06-14,24956.35,1,0.0
18284,BANSANDER-C,APV,,2015-06-22,24969.65,1,0.0
18285,BANSANDER-C,APV,,2015-06-27,24977.97,1,0.0
18286,BANSANDER-C,APV,,2015-06-30,24982.96,1,0.0
18287,BANSANDER-C,APV,,2015-07-01,24984.62,1,0.0
18288,BANSANDER-C,APV,,2015-07-08,24996.27,1,0.0
18289,BANSANDER-C,APV,,2015-07-19,25038.19,1,0.0
18290,BANSANDER-C,APV,,2015-07-22,25050.28,1,0.0
18291,BANSANDER-C,APV,,2015-07-23,25054.31,1,0.0
18292,BANSANDER-C,APV,,2015-07-25,25062.37,1,0.0
18293,BANSANDER-C,APV,,2015-07-26,25066.41,1,0.0
18294,BANSANDER-C,APV,,2015-07-29,25078.51,1,0.0
18295,BANSANDER-C,APV,,2015-08-04,25102.73,1,0.0
18296,BANSANDER-C,APV,,2015-08-15,25142.35,1,0.0
18297,BANSANDER-C,APV,,2015-08-21,25161.78,1,0.0
18298,BANSANDER-C,APV,,2015-08-29,25187.72,1,0.0
18299,BANSANDER-C,APV,,2015-08-31,25194.21,1,0.0
18300,BANSANDER-C,APV,,2015-09-08,25220.17,1,0.0
18301,BANSANDER-C,APV,,2015-09-19,25282.14,1,0.0
18302,BANSANDER-C,APV,,2015-10-11,25408.15,1,0.0
18303,BANSANDER-C,APV,,2015-10-12,25412.24,1,0.0
18304,BANSANDER-C,APV,,2015-10-16,25428.6,1,0.0
18305,BANSANDER-C,APV,,2015-10-24,25461.35,1,0.0
18306,BANSANDER-C,APV,,2015-11-01,25494.15,1,0.0
18307,BANSANDER-C,APV,,2015-11-06,25514.66,1,0.0
18308,BANSANDER-C,APV,,2015-11-09,25526.98,1,0.0
18309,BANSANDER-C,APV,,2015-11-12,25537.17,1,0.0
18310,BANSANDER-C,APV,,2015-11-14,25543.97,1,0.0
18311,BANSANDER-C,APV,,2015-11-15,25547.37,1,0.0
18312,BANSANDER-C,APV,,2015-12-02,25605.23,1,0.0
18313,BANSANDER-C,APV,,2015-12-08,25625.68,1,0.0
18314,BANSANDER-C,APV,,2015-12-29,25629.09,1,0.0
18315,BANSANDER-C,APV,,2015-12-31,25629.09,1,0.0
18316,BANSANDER-D,APV,,2015-01-09,24627.1,1,0.0
18317,BANSANDER-D,APV,,2015-01-14,24611.18,1,0.0
18318,BANSANDER-D,APV,,2015-01-16,24604.82,1,0.0
18319,BANSANDER-D,APV,,2015-01-25,24576.21,1,0.0
18320,BANSANDER-D,APV,,2015-01-26,24573.03,1,0.0
18321,BANSANDER-D,APV,,2015-01-28,24566.68,1,0.0
18322,BANSANDER-D,APV,,2015-02-02,24550.8,1,0.0
18323,BANSANDER-D,APV,,2015-02-14,24532.97,1,0.0
18324,BANSANDER-D,APV,,2015-02-16,24534.72,1,0.0
18325,BANSANDER-D,APV,,2015-02-18,24536.47,1,0.0
18326,BANSANDER-D,APV,,2015-02-26,24543.48,1,0.0
18327,BANSANDER-D,APV,,2015-02-28,24545.23,1,0.0
18328,BANSANDER-D,APV,,2015-03-09,24553.12,1,0.0
18329,BANSANDER-D,APV,,2015-03-10,24556.28,1,0.0
18330,BANSANDER-D,APV,,2015-03-11,24559.44,1,0.0
18331,BANSANDER-D,APV,,2015-03-12,24562.61,1,0.0
18332,BANSANDER-D,APV,,2015-03-15,24572.1,1,0.0
18333,BANSANDER-D,APV,,2015-03-19,24584.76,1,0.0
18334,BANSANDER-D,APV,,2015-03-21,24591.09,1,0.0
18335,BANSANDER-D,APV,,2015-03-22,24594.26,1,0.0
18336,BANSANDER-D,APV,,2015-03-28,24613.27,1,0.0
18337,BANSANDER-D,APV,,2015-03-31,24622.78,1,0.0
18338,BANSANDER-D,APV,,2015-04-09,24651.33,1,0.0
18339,BANSANDER-D,APV,,2015-04-10,24656.25,1,0.0
18340,BANSANDER-D,APV,,2015-04-15,24680.84,1,0.0
18341,BANSANDER-D,APV,,2015-04-21,24710.39,1,0.0
18342,BANSANDER-D,APV,,2015-04-25,24730.1,1,0.0
18343,BANSANDER-D,APV,,2015-05-02,24764.65,1,0.0
18344,BANSANDER-D,APV,,2015-05-04,24774.53,1,0.0
18345,BANSANDER-D,APV,,2015-05-07,24789.35,1,0.0
18346,BANSANDER-D,APV,,2015-05-17,24837.55,1,0.0
18347,BANSANDER-D,APV,,2015-05-18,24842.35,1,0.0
18348,BANSANDER-D,APV,,2015-05-23,24866.33,1,0.0
18349,BANSANDER-D,APV,,2015-05-25,24875.93,1,0.0
18350,BANSANDER-D,APV,,2015-05-26,24880.73,1,0.0
18351,BANSANDER-D,APV,,2015-06-01,24909.55,1,0.0
18352,BANSANDER-D,APV,,2015-06-03,24919.17,1,0.0
18353,BANSANDER-D,APV,,2015-06-04,24923.98,1,0.0
18354,BANSANDER-D,APV,,2015-06-12,24953.03,1,0.0
18355,BANSANDER-D,APV,,2015-06-13,24954.69,1,0.0
18356,BANSANDER-D,APV,,2015-06-16,24959.67,1,0.0
18357,BANSANDER-D,APV,,2015-06-17,24961.34,1,0.0
18358,BANSANDER-D,APV,,2015-06-20,24966.32,1,0.0
18359,BANSANDER-D,APV,,2015-06-21,24967.99,1,0.0
18360,BANSANDER-D,APV,,2015-06-23,24971.31,1,0.0
18361,BANSANDER-D,APV,,2015-06-30,24982.96,1,0.0
18362,BANSANDER-D,APV,,2015-07-07,24994.61,1,0.0
18363,BANSANDER-D,APV,,2015-07-08,24996.27,1,0.0
18364,BANSANDER-D,APV,,2015-07-10,25001.96,1,0.0
18365,BANSANDER-D,APV,,2015-07-29,25078.51,1,0.0
18366,BANSANDER-D,APV,,2015-07-31,25086.58,1,0.0
18367,BANSANDER-D,APV,,2015-08-04,25102.73,1,0.0
18368,BANSANDER-D,APV,,2015-08-10,25126.17,1,0.0
18369,BANSANDER-D,APV,,2015-08-12,25132.64,1,0.0
18370,BANSANDER-D,APV,,2015-08-18,25152.06,1,0.0
18371,BANSANDER-D,APV,,2015-08-23,25168.26,1,0.0
18372,BANSANDER-D,APV,,2015-09-02,25200.69,1,0.0
18373,BANSANDER-D,APV,,2015-09-07,25216.93,1,0.0
18374,BANSANDER-D,APV,,2015-09-08,25220.17,1,0.0
18375,BANSANDER-D,APV,,2015-09-09,25223.42,1,0.0
18376,BANSANDER-D,APV,,2015-09-10,25229.29,1,0.0
18377,BANSANDER-D,APV,,2015-09-13,25246.89,1,0.0
18378,BANSANDER-D,APV,,2015-09-14,25252.76,1,0.0
18379,BANSANDER-D,APV,,2015-09-15,25258.63,1,0.0
18380,BANSANDER-D,APV,,2015-09-17,25270.38,1,0.0
18381,BANSANDER-D,APV,,2015-10-11,25408.15,1,0.0
18382,BANSANDER-D,APV,,2015-10-14,25420.42,1,0.0
18383,BANSANDER-D,APV,,2015-10-17,25432.69,1,0.0
18384,BANSANDER-D,APV,,2015-10-19,25440.88,1,0.0
18385,BANSANDER-D,APV,,2015-10-26,25469.55,1,0.0
18386,BANSANDER-D,APV,,2015-11-01,25494.15,1,0.0
18387,BANSANDER-D,APV,,2015-11-02,25498.25,1,0.0
18388,BANSANDER-D,APV,,2015-11-11,25533.77,1,0.0
