,RUN,Serie,valor_cuota,Fecha,uf,tipo_cambio,tac_total
0,8820-K,H,1374.7018,2018-06-11,27107.29,630.45,3.84
1,8822-6,C,1101.6626,2018-06-11,27107.29,1.0,4.5
2,8812-9,AC-APV,1039.3819,2018-06-11,27107.29,1.0,
3,9231-2,BPRIV,101.8567,2018-06-11,27107.29,630.45,0.95
4,8290-2,A,1415.8817,2018-06-11,27107.29,1.0,
5,8825-0,B,1333.5332,2018-06-11,27107.29,1.0,1.77
6,8827-7,PLAN3,1383.4327,2018-06-11,27107.29,1.0,1.15
7,8881-1,I-APV,1335.13,2018-06-11,27107.29,1.0,0.75
8,9056-5,B,1142.7056,2018-06-11,27107.29,1.0,1.39
9,9056-5,F,1117.4394,2018-06-11,27107.29,1.0,0.79
10,9593-1,C,1023.5696,2018-06-11,27107.29,1.0,1.49
11,8250-3,A,1419.2348,2018-06-11,27107.29,1.0,1.52
12,8327-5,CLASI,1684.8253,2018-06-11,27107.29,1.0,1.2
13,8352-6,F2,1109.0338,2018-06-11,27107.29,1.0,1.0
14,8352-6,F4,1118.0744,2018-06-11,27107.29,1.0,0.7
15,8052-7,B,42478.6739,2018-06-11,27107.29,1.0,0.25
16,8059-4,INVER,45181.5969,2018-06-11,27107.29,1.0,1.27
17,8187-6,F,1073.89,2018-06-11,27107.29,1.0,
18,8234-1,A,1563.9858,2018-06-11,27107.29,1.0,
19,8338-0,M6,2063.1203,2018-06-11,27107.29,1.0,0.12
20,8629-0,E,1.1604,2018-06-11,27107.29,630.45,0.15
21,8952-4,A,1177.1959,2018-06-11,27107.29,1.0,1.3
22,8952-4,V,1207.9965,2018-06-11,27107.29,1.0,0.19
23,9196-0,A,1102.8865,2018-06-11,27107.29,1.0,0.18
24,9253-3,UNICA,1039.2718,2018-06-11,27107.29,1.0,1.25
25,8956-7,F,1426.6958,2018-06-11,27107.29,1.0,1.31
26,9003-4,M,1089.5133,2018-06-11,27107.29,1.0,0.34
27,8037-3,CLASI,652556.5741,2018-06-11,27107.29,1.0,0.99
28,8609-6,GLOBA,1620.5196,2018-06-11,27107.29,1.0,1.1
29,8269-4,F2,1352.7824,2018-06-11,27107.29,1.0,
30,9328-9,AC-APV,985.0866,2018-06-11,27107.29,1.0,
31,8113-2,B,2326.0785,2018-06-11,27107.29,1.0,2.09
32,8129-9,A,820.1717,2018-06-11,27107.29,1.0,4.76
33,8160-4,III,853.4002,2018-06-11,27107.29,1.0,1.15
34,8160-4,INVER,949.7864,2018-06-11,27107.29,1.0,4.33
35,8685-1,M,1255.8758,2018-06-11,27107.29,1.0,1.13
36,8789-0,E,1211.7408,2018-06-11,27107.29,1.0,3.98
37,8971-0,IT,1173.3823,2018-06-11,27107.29,1.0,0.07
38,9005-0,C,1444.5654,2018-06-11,27107.29,1.0,5.72
39,9007-7,LIQUIDEZ,1439.8375,2018-06-11,27107.29,1.0,5.65
40,8775-0,AC-APV,1034.5574,2018-06-11,27107.29,1.0,
41,8488-3,I,1259.3044,2018-06-11,27107.29,1.0,1.58
42,8610-K,A,370.6125,2018-06-11,27107.29,1.0,4.93
43,8679-7,AC-APV,1346.0548,2018-06-11,27107.29,1.0,1.63
44,8492-1,D,1229.168,2018-06-11,27107.29,1.0,1.12
45,8521-9,F1,743.634,2018-06-11,27107.29,630.45,2.66
46,8576-6,INVER,1568.754,2018-06-11,27107.29,1.0,3.13
47,9473-0,D,1083.5829,2018-06-11,27107.29,1.0,1.5
48,8303-8,LV,1045.086,2018-06-11,27107.29,1.0,0.02
49,8377-1,A1,1027.3273,2018-06-11,27107.29,630.45,2.08
50,9006-9,F,994.8938,2018-06-11,27107.29,1.0,
51,8924-9,D,1176.6664,2018-06-11,27107.29,1.0,3.8
52,8944-3,D,1051.6331,2018-06-11,27107.29,1.0,3.8
53,8993-1,S,1228.3665,2018-06-11,27107.29,1.0,1.15
54,8685-1,M,1190.0356,2018-07-11,27184.94,1.0,1.13
55,8789-0,E,1170.1402,2018-07-11,27184.94,1.0,3.98
56,8233-3,F3,2750.2288,2018-07-11,27184.94,1.0,3.72
57,8395-K,D,1258.0317,2018-07-11,27184.94,1.0,4.6
58,8456-5,A,1055.4835,2018-07-11,27184.94,1.0,4.75
59,8915-K,B,2259.7463,2018-07-11,27184.94,1.0,3.91
60,8916-8,AC,1142.9634,2018-07-11,27184.94,1.0,2.53
61,8916-8,B,1110.545,2018-07-11,27184.94,1.0,3.91
62,8940-0,B,250.0277,2018-07-11,27184.94,650.43,2.14
63,8900-1,EJECU,1352.1796,2018-07-11,27184.94,1.0,2.33
64,8723-8,APV,2915.1755,2018-07-11,27184.94,1.0,2.15
65,8723-8,F,1160.3474,2018-07-11,27184.94,1.0,2.96
66,8577-4,ALTO,1009.5136,2018-07-11,27184.94,1.0,2.15
67,8621-5,E-APV,1069.1431,2018-07-11,27184.94,1.0,1.95
68,8712-2,FAMIL,2232.15,2018-07-11,27184.94,1.0,4.5
69,8826-9,LP3,1346.5942,2018-07-11,27184.94,1.0,1.47
70,8991-5,APV,1065.2514,2018-07-11,27184.94,1.0,1.01
71,9291-6,B,1054.7018,2018-07-11,27184.94,1.0,1.31
72,8251-1,PLAN1,1551.3333,2018-07-11,27184.94,1.0,1.59
73,8352-6,F4,1120.3542,2018-07-11,27184.94,1.0,0.7
74,9405-6,EJECU,1032.0382,2018-07-11,27184.94,1.0,1.4
75,9473-0,D,1080.1097,2018-07-11,27184.94,1.0,1.5
76,9474-9,D,1014.1737,2018-07-11,27184.94,1.0,1.13
77,9474-9,E,1007.5389,2018-07-11,27184.94,1.0,1.8
78,9193-6,X,1062.8748,2018-07-11,27184.94,1.0,0.55
79,9371-8,BPRIV,101.5353,2018-07-11,27184.94,650.43,0.95
80,8141-8,INSTITUCIO,1666.9399,2018-07-11,27184.94,1.0,0.77
81,8052-7,B,42557.4295,2018-07-11,27184.94,1.0,0.25
82,8059-4,INVER,45239.7431,2018-07-11,27184.94,1.0,1.27
83,8092-6,M1,2685.7715,2018-07-11,27184.94,1.0,1.29
84,8156-6,M4,1244.8816,2018-07-11,27184.94,1.0,
85,8506-5,APV,1022.2275,2018-07-11,27184.94,650.43,0.15
86,8629-0,E,1.163,2018-07-11,27184.94,650.43,0.15
87,8678-9,AC-APV,1090.3862,2018-07-11,27184.94,1.0,0.65
88,8952-4,V,1210.603,2018-07-11,27184.94,1.0,0.19
89,8160-4,III,896.7572,2018-07-11,27184.94,1.0,1.15
90,8176-0,GAMMA,2064.9851,2018-07-11,27184.94,1.0,1.09
91,9328-9,F,1031.1837,2018-07-11,27184.94,1.0,1.07
92,8956-7,AC,1144.7323,2018-07-11,27184.94,1.0,1.4
93,8956-7,F,1434.3011,2018-07-11,27184.94,1.0,1.31
94,9003-4,E,1316.2295,2018-07-11,27184.94,1.0,1.46
95,8263-5,APV,2012.6941,2018-07-11,27184.94,1.0,1.07
96,8422-0,PLAN4,1489.3204,2018-07-11,27184.94,1.0,0.64
97,8460-3,BPRIV,1434.563,2018-07-11,27184.94,1.0,0.99
98,9007-7,LIQUIDEZ,1367.1824,2018-07-11,27184.94,1.0,5.65
99,9537-0,INSTI,937.3701,2018-07-11,27184.94,1.0,1.0
100,8172-8,P,3.5589,2018-07-11,27184.94,650.43,1.44
101,8037-3,CLASI,654617.7778,2018-08-11,27217.38,1.0,0.99
102,8130-2,F,1292.59,2018-08-11,27217.38,1.0,0.71
103,8253-8,I,1083.6227,2018-08-11,27217.38,1.0,0.83
104,8338-0,M6,2072.3174,2018-08-11,27217.38,1.0,0.12
105,8384-4,A,1138.6697,2018-08-11,27217.38,645.95,1.51
106,8401-8,I,1303.3194,2018-08-11,27217.38,1.0,0.35
107,8506-5,APV,1024.2484,2018-08-11,27217.38,645.95,0.15
108,8141-8,INSTITUCIO,1675.9183,2018-08-11,27217.38,1.0,0.77
