,RUN,Serie,valor_cuota,Fecha,uf,tipo_cambio,tac_total
0,8787-4,ADC,1264.0395,2018-06-11,27107.29,1.0,0.83
1,9345-9,A,1.0623,2018-06-11,27107.29,630.45,0.93
2,8600-2,C,1478.6247,2018-06-11,27107.29,1.0,1.57
3,8824-2,LP3,1353.3909,2018-06-11,27107.29,1.0,1.38
4,8622-3,B,1488.6689,2018-06-11,27107.29,1.0,1.2
5,8250-3,PLAN1,1475.0753,2018-06-11,27107.29,1.0,0.88
6,8304-6,PERSO,1387.6296,2018-06-11,27107.29,1.0,1.74
7,9586-9,INVER,978.4923,2018-06-11,27107.29,1.0,1.96
8,8107-8,CLASI,27444.4903,2018-06-11,27107.29,1.0,1.1
9,8338-0,M3,1759.8024,2018-06-11,27107.29,1.0,0.7
10,9421-8,I,1014.8599,2018-06-11,27107.29,1.0,0.56
11,8806-4,J,1050.5283,2018-06-11,27107.29,1.0,0.26
12,8897-8,A,1337.4581,2018-06-11,27107.29,1.0,2.24
13,8956-7,E,1417.2454,2018-06-11,27107.29,1.0,1.43
14,9084-0,D,1184.0376,2018-06-11,27107.29,1.0,0.85
15,8050-0,A,3875.0817,2018-06-11,27107.29,1.0,2.02
16,8246-5,A,1791.9709,2018-06-11,27107.29,1.0,2.12
17,8422-0,B,2246.1644,2018-06-11,27107.29,1.0,1.12
18,8422-0,LP180,1721.4591,2018-06-11,27107.29,1.0,1.21
19,8373-9,C,1151.4188,2018-06-11,27107.29,1.0,5.75
20,9238-K,LIQUIDEZ,1081.4589,2018-06-11,27107.29,1.0,1.55
21,9328-9,A,941.1659,2018-06-11,27107.29,1.0,2.98
22,8183-3,APV,2232.8396,2018-06-11,27107.29,1.0,1.9
23,8857-9,INVER,909.7317,2018-06-11,27107.29,1.0,3.12
24,9007-7,D,1132.2008,2018-06-11,27107.29,1.0,3.8
25,9024-7,I,1047.9871,2018-06-11,27107.29,1.0,1.42
26,8264-3,A,126.3578,2018-06-11,27107.29,630.45,1.3
27,8696-7,EA-AM,1008.0403,2018-06-11,27107.29,1.0,0.21
